"the",34882
"to",20535
"i",18981
"a",17206
"you",13654
"of",12811
"and",12342
"that",11364
"in",8769
"was",8648
"this",8161
"it",8050
"me",7418
"my",6858
"her",6736
"with",6540
"be",5382
"is",5355
"as",5099
"for",5047
"she",4791
"but",4697
"so",4645
"on",4339
"at",4174
"if",3952
"what",3809
"darkness",3755
"just",3443
"are",3369
"aqua",3343
"we",3338
"",3213
"like",3210
"megumin",3155
"who",3141
"all",3040
"from",2975
"after",2904
"up",2864
"its",2853
"dont",2745
"have",2667
"right",2654
"said",2615
"were",2564
"do",2563
"about",2531
"no",2464
"your",2440
"by",2420
"out",2409
"im",2248
"really",2087
"not",2053
"even",2022
"an",2017
"now",2010
"time",1970
"one",1931
"when",1870
"back",1870
"can",1768
"would",1767
"there",1760
"had",1760
"demon",1752
"ill",1729
"too",1688
"then",1678
"hey",1630
"kazuma",1620
"something",1601
"how",1575
"he",1561
"here",1547
"they",1509
"didnt",1494
"will",1479
"well",1473
"go",1470
"us",1469
"way",1445
"them",1436
"why",1424
"say",1411
"some",1349
"get",1334
"into",1316
"thats",1306
"could",1303
"been",1301
"did",1295
"still",1269
"his",1263
"before",1262
"magic",1261
"youre",1242
"know",1241
"such",1186
"think",1171
"want",1169
"should",1144
"only",1096
"down",1065
"while",1058
"our",1058
"or",1031
"please",1024
"adventurers",1019
"more",1003
"over",997
"other",980
"cant",957
"face",947
"any",939
"take",939
"let",938
"two",930
"their",927
"because",917
"has",915
"around",912
"away",908
"him",904
"off",882
"head",881
"being",873
"come",872
"going",861
"see",853
"man",850
"looked",830
"things",828
"hand",815
"heard",796
"eyes",793
"girl",784
"wont",779
"people",778
"saying",768
"king",767
"wiz",767
"much",765
"good",753
"use",752
"first",751
"isnt",748
"make",746
"ive",745
"look",728
"theres",723
"explosion",723
"iris",721
"little",720
"seemed",706
"crimson",698
"probably",697
"town",696
"might",693
"hearing",690
"kings",686
"room",681
"wait",676
"very",655
"already",644
"need",642
"made",639
"goddess",636
"place",627
"stop",627
"since",625
"world",623
"yunyun",621
"came",619
"moment",616
"couldnt",615
"everyone",609
"than",606
"thought",603
"anything",602
"again",601
"ah",597
"day",589
"lets",587
"those",586
"also",580
"body",576
"started",574
"tell",574
"oh",566
"give",563
"monsters",558
"doing",557
"words",557
"fine",548
"got",537
"whats",536
"help",532
"took",531
"without",526
"thing",521
"someone",519
"through",518
"vanir",516
"turned",515
"leave",513
"behind",512
"long",508
"feel",508
"seeing",502
"seems",498
"name",490
"suddenly",489
"though",489
"looking",488
"same",481
"wasnt",478
"shes",477
"bad",475
"person",473
"voice",470
"next",470
"these",468
"wouldnt",459
"where",459
"end",449
"wanted",448
"eris",448
"used",448
"water",443
"castle",441
"night",438
"sword",436
"money",435
"left",431
"door",431
"great",428
"adventurer",427
"spell",426
"put",425
"once",422
"work",421
"smile",419
"expression",417
"enough",416
"army",415
"lady",413
"able",410
"kind",410
"getting",409
"skill",407
"megumins",407
"reason",403
"most",402
"together",402
"bit",400
"must",399
"guild",397
"darknesss",392
"hands",391
"today",390
"aquas",382
"sorry",380
"village",377
"which",376
"chris",376
"asked",373
"against",370
"however",369
"saw",369
"princess",364
"never",363
"actually",363
"party",362
"many",361
"matter",361
"life",358
"definitely",358
"happened",357
"demons",356
"sure",356
"went",353
"hard",351
"nothing",350
"towards",350
"home",347
"finally",347
"arent",346
"axis",345
"front",344
"understand",343
"always",340
"high",337
"making",337
"every",337
"mean",336
"keep",334
"yes",332
"mansion",332
"felt",330
"gave",330
"guy",328
"thinking",328
"moi",328
"last",326
"quite",321
"strong",320
"power",317
"true",317
"told",316
"doesnt",316
"myself",315
"shop",314
"having",313
"woman",313
"mind",312
"kazumasan",310
"ask",308
"lot",308
"general",308
"side",306
"fight",305
"care",305
"become",304
"situation",303
"using",301
"far",301
"course",299
"yeah",299
"three",294
"strange",294
"another",293
"powerful",293
"serena",293
"level",292
"attack",291
"taking",291
"big",290
"mana",290
"both",289
"monster",288
"along",287
"okay",287
"hot",286
"huh",285
"few",285
"axel",283
"youll",282
"guys",281
"pretty",278
"close",275
"feeling",274
"dungeon",272
"anyway",269
"own",269
"talking",268
"trouble",267
"rather",266
"am",265
"wrong",265
"inside",265
"alone",263
"stood",261
"onto",261
"house",260
"coming",258
"during",257
"small",256
"run",256
"herself",255
"does",251
"done",250
"hmm",250
"hurry",249
"show",248
"yet",248
"id",247
"hold",246
"upon",246
"better",246
"youve",243
"each",243
"easily",243
"enemy",242
"item",241
"eh",240
"find",240
"hes",240
"sound",239
"turn",238
"bring",238
"light",238
"devil",237
"cast",236
"under",235
"skills",235
"others",234
"thank",233
"trying",233
"hear",232
"showed",232
"seem",232
"undead",232
"large",231
"festival",231
"dangerous",228
"tried",227
"job",227
"times",227
